# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
36,0,249,0
75,0,370,0
119,0,456,0
159,0,494,0
209,0,514,0
255,0,596,0
302,0,563,0
342,0,556,0
382,0,621,0
413,0,608,0
433,0,578,0
476,0,644,0
495,0,629,0
516,0,604,0
566,0,667,0
581,0,613,0
589,0,567,0
632,0,630,0
664,0,574,0
668,0,546,0
703,0,592,0
698,0,522,0
686,0,538,0
737,0,599,0
725,0,546,0
715,0,522,0
778,0,583,0
757,0,526,0
723,0,464,0
774,0,530,0
737,0,472,0
705,0,439,0
763,0,452,0
751,0,421,0
698,0,400,0
753,0,458,0
701,0,421,0
619,0,415,0
677,0,474,0
623,0,428,0
555,0,405,0
608,0,455,0
558,0,389,0
512,0,371,0
568,0,396,0
496,0,361,0
414,0,321,0
467,0,339,0
419,0,320,0
369,0,317,0
402,0,343,0
352,0,322,0
314,0,314,0
358,0,361,0
326,0,314,0
271,0,304,0
300,0,325,0
263,0,303,0
217,0,265,0
234,0,285,0
207,0,268,0
176,0,250,0
205,0,269,0
165,0,244,0
151,0,228,0
166,0,244,0
156,0,223,0
123,0,218,0
134,0,235,0
120,0,209,0
103,0,206,0
125,0,240,0
111,0,228,0
96,0,206,0
115,0,216,0
98,0,196,0
89,0,197,0
109,0,232,0
88,0,211,0
76,0,181,0
92,0,201,0
78,0,197,0
60,0,163,0
69,0,173,0
77,0,179,0
74,0,166,0
89,0,187,0
84,0,162,0
76,0,152,0
86,0,182,0
79,0,166,0
78,0,165,0
86,0,171,0
86,0,146,0
72,0,122,0
84,0,142,0
73,0,142,0
70,0,137,0
82,0,132,0
72,0,143,0
64,0,136,0
75,0,145,0
66,0,147,0
52,0,135,0
58,0,152,0
53,0,127,0
45,0,124,0
55,0,148,0
51,0,137,0
45,0,117,0
51,0,146,0
46,0,135,0
40,0,128,0
46,0,140,0
40,0,119,0
36,0,121,0
42,0,134,0
45,0,129,0
43,0,109,0
55,0,117,0
51,0,119,0
47,0,103,0
60,0,121,0
52,0,118,0
37,0,113,0
45,0,120,0
45,0,104,0
35,0,107,0
45,0,116,0
29,0,104,0
23,0,108,0
37,0,116,0
31,0,106,0
28,0,115,0
31,0,116,0
32,0,117,0
33,0,103,0
40,0,106,0
39,0,88,0
36,0,97,0
35,0,102,0
34,0,85,0
31,0,84,0
41,0,107,0
36,0,90,0
29,0,90,0
37,0,110,0
33,0,107,0
29,0,90,0
34,0,97,0
