# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
58,0,58,0
113,0,108,0
166,0,135,0
204,0,157,0
253,0,174,0
301,0,202,0
339,0,225,0
384,0,263,0
432,0,263,0
472,0,272,0
529,0,272,0
567,0,301,0
620,0,309,0
662,0,315,0
717,0,308,0
752,0,335,0
776,0,339,0
814,0,351,0
846,0,352,0
902,0,343,0
948,0,341,0
987,0,335,0
1028,0,346,0
1062,0,349,0
1103,0,348,0
1150,0,338,0
1184,0,338,0
1219,0,316,0
1263,0,323,0
1305,0,321,0
1346,0,323,0
1382,0,313,0
1407,0,315,0
1444,0,311,0
1491,0,301,0
1521,0,299,0
1564,0,302,0
1585,0,289,0
1596,0,283,0
1627,0,274,0
1637,0,295,0
1646,0,285,0
1660,0,276,0
1685,0,282,0
1696,0,291,0
1701,0,286,0
1705,0,301,0
1712,0,301,0
1702,0,290,0
1718,0,273,0
1721,0,280,0
1723,0,269,0
1712,0,259,0
1706,0,248,0
1708,0,227,0
1703,0,221,0
1696,0,223,0
1690,0,216,0
1691,0,221,0
1684,0,205,0
1652,0,198,0
1629,0,210,0
1601,0,212,0
1601,0,205,0
1593,0,215,0
1593,0,211,0
1569,0,200,0
1529,0,209,0
1493,0,186,0
1468,0,190,0
1447,0,199,0
1431,0,198,0
1408,0,209,0
1360,0,205,0
1324,0,195,0
1319,0,200,0
1292,0,188,0
1295,0,182,0
1285,0,185,0
1270,0,184,0
1245,0,196,0
1235,0,185,0
1215,0,176,0
1190,0,172,0
1176,0,166,0
1154,0,170,0
1137,0,161,0
1129,0,156,0
1116,0,162,0
1081,0,174,0
1069,0,173,0
1051,0,151,0
1023,0,151,0
1012,0,149,0
990,0,148,0
979,0,153,0
952,0,153,0
940,0,153,0
929,0,169,0
925,0,165,0
918,0,156,0
898,0,163,0
890,0,156,0
878,0,142,0
857,0,146,0
831,0,134,0
827,0,134,0
797,0,130,0
779,0,125,0
764,0,131,0
750,0,125,0
742,0,121,0
720,0,128,0
717,0,126,0
701,0,122,0
682,0,117,0
653,0,119,0
634,0,124,0
637,0,116,0
612,0,114,0
602,0,122,0
613,0,133,0
609,0,133,0
591,0,132,0
589,0,126,0
577,0,123,0
575,0,130,0
551,0,125,0
548,0,119,0
544,0,131,0
546,0,121,0
539,0,130,0
545,0,126,0
524,0,126,0
510,0,130,0
514,0,138,0
516,0,127,0
521,0,129,0
510,0,117,0
495,0,110,0
476,0,102,0
473,0,103,0
446,0,99,0
441,0,100,0
421,0,111,0
415,0,100,0
417,0,105,0
406,0,105,0
414,0,107,0
422,0,118,0
406,0,118,0
405,0,117,0
407,0,115,0
398,0,117,0
390,0,118,0
388,0,113,0
378,0,113,0
379,0,109,0
371,0,109,0
378,0,100,0
392,0,102,0
397,0,99,0
398,0,90,0
402,0,84,0
386,0,86,0
368,0,87,0
362,0,92,0
368,0,85,0
356,0,93,0
354,0,94,0
341,0,94,0
333,0,92,0
314,0,98,0
316,0,102,0
325,0,91,0
325,0,96,0
329,0,91,0
319,0,91,0
324,0,97,0
329,0,101,0
316,0,97,0
312,0,96,0
313,0,105,0
310,0,102,0
293,0,95,0
299,0,80,0
304,0,72,0
305,0,67,0
306,0,71,0
304,0,71,0
303,0,72,0
286,0,74,0
283,0,81,0
284,0,84,0
288,0,81,0
292,0,76,0
298,0,82,0
294,0,75,0
291,0,70,0
279,0,56,0
273,0,60,0
274,0,69,0
275,0,81,0
262,0,82,0
263,0,82,0
259,0,75,0
262,0,72,0
260,0,75,0
258,0,79,0
260,0,83,0
272,0,84,0
266,0,84,0
273,0,80,0
274,0,72,0
263,0,77,0
257,0,67,0
252,0,63,0
245,0,66,0
250,0,61,0
256,0,69,0
244,0,64,0
243,0,61,0
245,0,63,0
246,0,67,0
248,0,65,0
236,0,60,0
222,0,51,0
226,0,47,0
226,0,44,0
222,0,51,0
218,0,62,0
225,0,64,0
219,0,57,0
215,0,63,0
220,0,64,0
211,0,63,0
203,0,60,0
203,0,63,0
205,0,71,0
203,0,70,0
201,0,67,0
193,0,72,0
192,0,70,0
191,0,68,0
185,0,64,0
186,0,49,0
192,0,48,0
186,0,59,0
184,0,55,0
182,0,50,0
184,0,56,0
175,0,57,0
176,0,56,0
176,0,52,0
166,0,51,0
168,0,62,0
165,0,60,0
162,0,65,0
162,0,61,0
167,0,58,0
173,0,54,0
172,0,50,0
178,0,51,0
178,0,53,0
179,0,56,0
173,0,52,0
173,0,57,0
176,0,57,0
174,0,52,0
160,0,55,0
154,0,56,0
143,0,51,0
139,0,57,0
141,0,50,0
150,0,61,0
150,0,59,0
149,0,58,0
145,0,55,0
145,0,53,0
145,0,50,0
151,0,52,0
153,0,45,0
157,0,40,0
152,0,40,0
154,0,43,0
156,0,57,0
150,0,59,0
154,0,61,0
157,0,56,0
155,0,55,0
161,0,56,0
