Epoch,Num trials,Number correct,Time
0,8156,668,33.106931751128286
1,8156,1335,33.11365728871897
2,8156,2103,33.05420348374173
3,8156,2467,32.912356035318226
4,8156,3086,32.74630818795413
5,8156,3516,32.600804776884615
6,8156,4016,32.60143536794931
7,8156,4246,32.60384250199422
8,8156,4434,32.47879642806947
9,8156,4784,32.54599610995501
10,8156,4971,32.582910703960806
11,8156,5147,32.52911548130214
12,8156,5513,32.56670339172706
13,8156,5522,32.582268342375755
14,8156,5512,32.643003324978054
15,8156,5663,32.530807971954346
16,8156,5779,32.57787008676678
17,8156,5960,32.64384329598397
18,8156,5928,32.533627431839705
19,8156,6128,32.61414769105613
20,8156,6107,32.633811311330646
21,8156,6275,32.61807717895135
22,8156,6386,32.544203768949956
23,8156,6462,32.6080987281166
24,8156,6548,32.64056681096554
25,8156,6496,32.57527545141056
26,8156,6612,32.58814657619223
27,8156,6633,32.6483285529539
28,8156,6688,32.703196494840086
29,8156,6762,32.6253153597936
30,8156,6803,32.70466285478324
31,8156,6848,32.68852744298056
32,8156,6897,32.607230279129
33,8156,6936,32.665361386723816
34,8156,6862,32.70203706296161
35,8156,6938,32.70739942090586
36,8156,7021,32.655683109071106
37,8156,6969,32.75221192184836
38,8156,6969,32.746946500148624
39,8156,7040,32.66750656813383
40,8156,6972,32.7657710541971
41,8156,7031,32.76854443969205
42,8156,7049,32.714667071122676
43,8156,7142,32.69285000115633
44,8156,7121,32.765545872971416
45,8156,7081,32.73382132593542
46,8156,7060,32.860222494695336
47,8156,7136,32.671245203819126
48,8156,7110,32.69058210309595
49,8156,7071,32.666600415017456
