# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
180,0,1120,0
307,0,1677,0
486,0,2240,0
537,0,2339,0
613,0,2398,0
806,0,2748,0
857,0,2716,0
872,0,2664,0
1057,0,3080,0
1095,0,2901,0
1071,0,2855,0
1203,0,3112,0
1209,0,2954,0
1206,0,2854,0
1398,0,3227,0
1293,0,2946,0
1173,0,2762,0
1423,0,3267,0
1313,0,2982,0
1130,0,2775,0
1282,0,3140,0
1119,0,2913,0
978,0,2671,0
1221,0,3105,0
1093,0,2752,0
946,0,2566,0
1122,0,2863,0
958,0,2636,0
784,0,2587,0
931,0,2752,0
819,0,2519,0
739,0,2390,0
865,0,2637,0
787,0,2435,0
697,0,2295,0
831,0,2475,0
764,0,2250,0
684,0,2199,0
794,0,2359,0
731,0,2271,0
650,0,2081,0
803,0,2367,0
692,0,2132,0
625,0,1909,0
740,0,2168,0
686,0,1998,0
632,0,1842,0
734,0,2087,0
674,0,1932,0
584,0,1749,0
738,0,1946,0
639,0,1846,0
550,0,1732,0
659,0,1856,0
620,0,1709,0
528,0,1622,0
626,0,1832,0
578,0,1643,0
519,0,1530,0
616,0,1708,0
549,0,1625,0
486,0,1484,0
565,0,1599,0
507,0,1569,0
454,0,1515,0
522,0,1650,0
469,0,1573,0
436,0,1497,0
522,0,1626,0
461,0,1459,0
416,0,1368,0
493,0,1535,0
447,0,1415,0
394,0,1276,0
469,0,1439,0
454,0,1349,0
388,0,1293,0
452,0,1471,0
387,0,1350,0
376,0,1254,0
459,0,1399,0
410,0,1304,0
378,0,1199,0
446,0,1409,0
408,0,1330,0
358,0,1253,0
416,0,1344,0
384,0,1223,0
362,0,1148,0
455,0,1367,0
395,0,1247,0
360,0,1164,0
415,0,1322,0
390,0,1251,0
363,0,1171,0
411,0,1305,0
354,0,1233,0
318,0,1133,0
347,0,1308,0
344,0,1191,0
292,0,1129,0
361,0,1254,0
336,0,1212,0
297,0,1136,0
379,0,1252,0
338,0,1141,0
295,0,1076,0
340,0,1186,0
293,0,1158,0
285,0,1098,0
347,0,1234,0
338,0,1130,0
310,0,1067,0
380,0,1153,0
308,0,1171,0
264,0,1079,0
342,0,1191,0
316,0,1127,0
253,0,1039,0
307,0,1189,0
278,0,1111,0
250,0,1007,0
307,0,1163,0
294,0,1119,0
281,0,1074,0
315,0,1237,0
287,0,1196,0
250,0,1055,0
312,0,1217,0
318,0,1125,0
289,0,994,0
345,0,1166,0
287,0,1142,0
238,0,1024,0
308,0,1147,0
283,0,1066,0
279,0,1002,0
312,0,1137,0
280,0,1094,0
251,0,1040,0
312,0,1135,0
252,0,1095,0
199,0,1034,0
251,0,1186,0
239,0,1128,0
207,0,1009,0
264,0,1196,0
235,0,1106,0
223,0,991,0
267,0,1103,0
