# Conn_Pop2_Pop2, Conn_Pop2_Pop2_fail, Conn_Pop0_Pop2, Conn_Pop0_Pop2_fail
200,0,231,0
374,0,299,0
508,0,324,0
643,0,325,0
770,0,321,0
886,0,335,0
981,0,345,0
1103,0,360,0
1144,0,392,0
1202,0,394,0
1269,0,387,0
1296,0,352,0
1362,0,350,0
1407,0,365,0
1445,0,386,0
1456,0,392,0
1471,0,379,0
1454,0,373,0
1419,0,368,0
1393,0,381,0
1384,0,390,0
1364,0,369,0
1318,0,362,0
1308,0,369,0
1290,0,345,0
1250,0,348,0
1248,0,366,0
1268,0,401,0
1249,0,372,0
1191,0,371,0
1176,0,380,0
1112,0,381,0
1072,0,356,0
1049,0,379,0
1023,0,396,0
969,0,372,0
976,0,350,0
979,0,373,0
981,0,364,0
955,0,340,0
944,0,327,0
912,0,334,0
889,0,336,0
865,0,323,0
877,0,323,0
856,0,306,0
805,0,307,0
790,0,315,0
768,0,346,0
767,0,313,0
750,0,318,0
735,0,293,0
706,0,300,0
706,0,285,0
695,0,317,0
678,0,307,0
670,0,275,0
660,0,276,0
633,0,276,0
605,0,272,0
573,0,279,0
552,0,260,0
549,0,278,0
540,0,257,0
539,0,265,0
524,0,243,0
477,0,274,0
480,0,254,0
488,0,268,0
475,0,279,0
476,0,279,0
473,0,250,0
453,0,274,0
444,0,248,0
423,0,245,0
444,0,241,0
405,0,237,0
396,0,234,0
400,0,212,0
374,0,205,0
360,0,235,0
364,0,222,0
358,0,211,0
348,0,219,0
346,0,221,0
364,0,213,0
360,0,209,0
325,0,203,0
327,0,215,0
318,0,210,0
329,0,217,0
317,0,185,0
289,0,204,0
293,0,209,0
270,0,189,0
292,0,172,0
296,0,177,0
268,0,170,0
289,0,168,0
251,0,177,0
243,0,180,0
257,0,182,0
265,0,163,0
268,0,188,0
275,0,171,0
261,0,174,0
273,0,154,0
297,0,155,0
273,0,165,0
251,0,172,0
256,0,139,0
242,0,154,0
245,0,177,0
231,0,164,0
224,0,174,0
219,0,167,0
213,0,165,0
193,0,155,0
200,0,184,0
208,0,177,0
207,0,173,0
210,0,163,0
218,0,154,0
203,0,165,0
192,0,170,0
182,0,144,0
188,0,169,0
164,0,146,0
172,0,123,0
182,0,135,0
175,0,138,0
191,0,117,0
205,0,118,0
180,0,115,0
162,0,130,0
171,0,137,0
157,0,132,0
172,0,121,0
175,0,124,0
169,0,124,0
177,0,138,0
169,0,121,0
167,0,126,0
161,0,137,0
152,0,128,0
155,0,136,0
160,0,137,0
160,0,130,0
158,0,145,0
160,0,145,0
141,0,137,0
140,0,128,0
131,0,121,0
146,0,103,0
153,0,119,0
144,0,111,0
139,0,124,0
130,0,113,0
136,0,110,0
135,0,107,0
146,0,128,0
144,0,139,0
153,0,120,0
147,0,132,0
136,0,116,0
135,0,120,0
132,0,122,0
137,0,129,0
136,0,136,0
133,0,136,0
118,0,107,0
120,0,119,0
121,0,124,0
131,0,103,0
112,0,120,0
109,0,118,0
103,0,124,0
107,0,109,0
114,0,94,0
127,0,101,0
115,0,95,0
109,0,93,0
107,0,90,0
108,0,95,0
124,0,91,0
126,0,95,0
119,0,91,0
116,0,93,0
118,0,89,0
113,0,99,0
119,0,103,0
116,0,83,0
111,0,82,0
107,0,104,0
103,0,104,0
107,0,97,0
117,0,92,0
106,0,110,0
104,0,101,0
115,0,95,0
108,0,104,0
116,0,99,0
108,0,101,0
117,0,97,0
112,0,92,0
115,0,92,0
108,0,86,0
112,0,88,0
102,0,77,0
112,0,90,0
98,0,96,0
99,0,94,0
97,0,95,0
99,0,81,0
97,0,84,0
103,0,97,0
107,0,88,0
117,0,82,0
105,0,77,0
114,0,93,0
131,0,100,0
118,0,88,0
102,0,98,0
109,0,99,0
94,0,79,0
112,0,86,0
92,0,86,0
92,0,91,0
83,0,94,0
96,0,107,0
110,0,84,0
103,0,86,0
98,0,89,0
107,0,75,0
102,0,76,0
114,0,78,0
111,0,73,0
111,0,64,0
102,0,65,0
111,0,70,0
116,0,71,0
109,0,77,0
108,0,65,0
93,0,66,0
86,0,81,0
97,0,69,0
96,0,71,0
80,0,67,0
79,0,71,0
77,0,68,0
96,0,64,0
81,0,85,0
85,0,93,0
86,0,96,0
78,0,96,0
74,0,84,0
80,0,82,0
86,0,85,0
87,0,75,0
82,0,77,0
85,0,73,0
85,0,81,0
91,0,89,0
92,0,81,0
96,0,77,0
97,0,74,0
80,0,70,0
79,0,73,0
81,0,81,0
82,0,88,0
80,0,79,0
73,0,70,0
81,0,90,0
85,0,79,0
83,0,68,0
81,0,76,0
86,0,65,0
80,0,64,0
84,0,67,0
77,0,87,0
73,0,89,0
69,0,80,0
80,0,73,0
80,0,79,0
85,0,83,0
92,0,64,0
106,0,67,0
97,0,74,0
89,0,80,0
85,0,85,0
89,0,87,0
78,0,113,0
