Epoch,Num trials,Number correct,Time
0,1077,121,154.27386944927275
1,1077,151,154.28985481290147
2,1077,281,154.35909223090857
3,1077,336,154.20673984661698
4,1077,426,154.20995092298836
5,1077,449,154.28245660709217
6,1077,449,154.1845730007626
7,1077,473,154.5550340791233
8,1077,452,154.19655438000336
9,1077,480,154.19198590470478
10,1077,498,154.33923451416194
11,1077,533,154.18120517814532
12,1077,550,154.27904798835516
13,1077,580,154.24717858200893
14,1077,601,154.2771288328804
15,1077,617,154.23527852119878
16,1077,641,154.31014846032485
17,1077,642,154.15815463801846
18,1077,658,154.2463120422326
19,1077,688,154.18416929990053
20,1077,707,154.22048985399306
21,1077,699,154.19777135923505
22,1077,706,154.25883149215952
23,1077,743,154.27810753323138
24,1077,771,154.26876810425892
25,1077,782,154.13549116812646
26,1077,767,154.21409224672243
27,1077,757,154.2679915977642
28,1077,757,154.2916904669255
29,1077,790,154.15462548378855
30,1077,808,154.1423147120513
31,1077,790,154.2133166338317
32,1077,778,154.20308622904122
33,1077,808,154.22336107026786
34,1077,809,154.1946656499058
35,1077,797,154.2645446122624
36,1077,776,154.25568193010986
37,1077,748,154.1704565770924
38,1077,774,154.097471522633
39,1077,838,154.14471467211843
40,1077,875,154.23558725975454
41,1077,882,154.21592373633757
42,1077,891,154.15136764524505
43,1077,887,154.18159953597933
44,1077,881,154.20859882701188
45,1077,882,154.15614197961986
46,1077,883,154.11048245616257
47,1077,874,154.08242323063314
48,1077,866,154.2051906720735
49,1077,872,154.1467256769538
